21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS296 	00:42:51,00 --> 00:42:56,50 	someone takes out the brochure.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS302 	00:44:49,00 --> 00:44:55,50 	the gray haired goateed pickpocket quickens his pace and takes out a set of keys.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS311 	00:47:58,00 --> 00:48:02,50 	smiling he takes out a bottle of whiskey.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS340 	00:52:33,00 --> 00:52:39,50 	someone quickly takes the bottle of medicinal spirits and uncaps it.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS30 	00:06:28,00 --> 00:06:33,50 	someone quickly takes out a cigarette.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS34 	00:07:54,00 --> 00:08:05,50 	he takes his leave.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS69 	00:15:42,00 --> 00:15:56,50 	someone catches his eye as someone starts to take a seat at an empty table.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS88 	00:20:00,00 --> 00:20:06,50 	someone takes a seat at a window.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	the teen takes out his cellphone and reads a text message from someone, happy new year.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS191 	00:37:07,00 --> 00:37:17,50 	he props himself up on his elbows and sweeps his gaze up someone's face, taking in her rosy lips, smooth cheeks, and closed eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS204 	00:39:01,00 --> 00:39:08,50 	he pauses behind a pair of pay phones then takes a few steps and sees
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS300 	00:57:42,00 --> 00:57:51,50 	she pushes the door open a crack and someone takes a look inside.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS318 	01:00:24,00 --> 01:00:36,50 	someone tightens his lips and takes a seat beside her on the bench.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS332 	01:04:23,00 --> 01:04:45,50 	rolling up his sleeves he takes a seat at his desk and straightens the pile of homework.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS337 	01:05:43,00 --> 01:05:50,50 	he now takes a brush to his canvas and starts his painting.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS339 	01:06:17,00 --> 01:06:53,50 	taking an essay test he begins an answer with a mention of someone bacon and someone hockney.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS355 	01:10:54,00 --> 01:11:02,50 	with a faint smile, she reaches out and takes his hand in hers stroking his fingers with her thumb.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS364 	01:11:41,00 --> 01:11:52,50 	someone strolls into view and takes a seat.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS391 	01:15:03,00 --> 01:15:09,50 	the teen takes his diploma and executes a groovy spin.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS413 	01:18:53,00 --> 01:18:58,50 	his hand reaches out taking a gentle hold of someone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS43 	00:07:33,00 --> 00:07:40,50 	she takes her phone from her bag and answers it as she returns to the roof's corner.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS75 	00:14:37,00 --> 00:14:45,50 	someone takes the check from someone's red-headed assistant and gives her a long, deep kiss.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS76 	00:14:47,00 --> 00:14:53,50 	someone takes it from his mouth and puts it in hers.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS154 	00:29:48,00 --> 00:29:52,50 	someone takes the incoming call.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS215 	00:43:31,00 --> 00:43:44,50 	the drunken man takes a rest then hobbles forward and bends over his door lock.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS259 	00:49:21,00 --> 00:49:27,50 	in the bathroom, someone takes someone's taser from under her skirt.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS301 	00:54:44,00 --> 00:54:51,50 	someone sheepishly opens his door and takes his seat at the wheel.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS306 	00:55:12,00 --> 00:55:17,50 	the man takes out a giant syringe.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS313 	00:57:11,00 --> 00:57:28,50 	someone bashes the pick-up and takes aim.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS404 	01:16:02,00 --> 01:16:08,50 	at the borgata lounge, kitty takes a phone call.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS538 	01:37:38,00 --> 01:37:45,50 	as someone surveys their surroundings, someone takes cover behind a pillar.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS559 	01:40:18,00 --> 01:40:22,50 	someone takes aim.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS566 	01:41:41,00 --> 01:41:49,50 	as she leaves she takes a call from someone, who limps between a warehouse and an empty lot.
THE_CALL.srt 	THE_CALL_DVS150 	00:12:27,00 --> 00:12:33,50 	the stern-faced woman stares at the door and takes a heavy breath.
THE_CALL.srt 	THE_CALL_DVS316 	00:26:56,00 --> 00:27:02,50 	someone waves brooke up and takes her place, putting on the headset.
THE_CALL.srt 	THE_CALL_DVS603 	00:46:40,00 --> 00:46:46,50 	the officer removes his sunglasses and takes a few steps forward.
THE_CALL.srt 	THE_CALL_DVS780 	00:58:56,00 --> 00:59:02,50 	she blinks her glistening eyes and takes a few ragged breaths.
THE_CALL.srt 	THE_CALL_DVS815 	01:01:40,00 --> 01:01:47,50 	a swat team takes the lead and smashes the front door in with a battering ram.
THE_CALL.srt 	THE_CALL_DVS962 	01:13:52,00 --> 01:13:59,50 	taking out her phone, she fumbles with it over the hole and drops it.
THE_CALL.srt 	THE_CALL_DVS1016 	01:17:41,00 --> 01:17:49,50 	someone takes it out of his mouth and places it on the finger of a white mannequin hand sitting on the vanity.
THE_CALL.srt 	THE_CALL_DVS1045 	01:19:14,00 --> 01:19:21,50 	someone takes a few measured steps towards the wardrobe, his shirt soaked with sweat.
THE_CALL.srt 	THE_CALL_DVS1100 	01:22:43,00 --> 01:23:03,50 	she pulls away with all her might and someone takes her head and shoves it into the utility sink full of water.
THE_CALL.srt 	THE_CALL_DVS1110 	01:23:38,00 --> 01:23:44,50 	someone takes a step back as someone rises to face them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS63 	00:13:32,00 --> 00:13:38,50 	he halts at a door to a private room and takes it in.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS130 	00:21:30,00 --> 00:21:36,50 	as someone takes the plate from the table, someone shuffles in.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS131 	00:21:35,00 --> 00:21:44,50 	without meeting his gaze, the teen takes a cola from the refrigerator, sits at the table, and slurps sullenly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS159 	00:26:12,00 --> 00:26:17,50 	as her father takes a seat opposite her,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS198 	00:32:35,00 --> 00:32:39,50 	someone takes a seat and nods.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS244 	00:38:23,00 --> 00:38:30,50 	she wears a vacant, confused expression as he takes her down a hallway
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS251 	00:39:47,00 --> 00:39:52,50 	someone storms over to someone, who takes a step back.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS284 	00:44:33,00 --> 00:44:39,50 	sitting in a day bed with a bottle of jameson irish whisky at his side, someone takes a steadying breath and ends the call.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS313 	00:47:16,00 --> 00:47:23,50 	reaching the foot of the bed, she glances at someone, then takes another step closer.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS339 	00:52:02,00 --> 00:52:09,50 	he takes a sip of scotch.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS341 	00:52:26,00 --> 00:52:30,50 	he takes another sip of his drink.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS356 	00:55:17,00 --> 00:55:26,50 	now, as a hawaiian airlines jet takes off, the image dissolves to the map of hawaii with a dashed line leading from oahu to kauai.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS406 	01:01:15,00 --> 01:01:22,50 	someone reaches behind her back and fastens her own top as her father takes a seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS410 	01:02:12,00 --> 01:02:17,50 	we draw back to take in a wide stretch of the shoreline and the misty mountain peaks beyond.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS432 	01:05:14,00 --> 01:05:19,50 	he shuffles around the fold out bed, shrugs, and takes a seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS444 	01:07:36,00 --> 01:07:41,50 	someone takes a deep breath.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS455 	01:08:21,00 --> 01:08:27,50 	his brow knits and he takes off after someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS464 	01:09:03,00 --> 01:09:11,50 	seen from inside, the gap shows someone darting across to take cover behind the opposite hedge.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS513 	01:13:16,00 --> 01:13:23,50 	the family pauses near the threshold, taking in the thriving casual hot spot.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS529 	01:17:15,00 --> 01:17:20,50 	taking a breath, he shakes himself out of his thoughts.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS555 	01:22:20,00 --> 01:22:24,50 	someone takes someone's side.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS678 	01:34:57,00 --> 01:35:02,50 	frowning, someone takes it, then flips through the paperwork.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS728 	01:42:44,00 --> 01:42:51,50 	someone gently takes her arm, guides her to the door, then stops and meets her gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS790 	01:46:59,00 --> 01:47:04,50 	they younger girl tearfully takes hold of the scoop handle, but lets go of it and passes the canister on to someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS798 	01:47:34,00 --> 01:47:40,50 	he takes off his lei and sets it on the water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS803 	01:47:51,00 --> 01:47:57,50 	they take on amoeba-like shapes as they float beside the canoe.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS819 	01:49:00,00 --> 01:49:05,50 	someone drops her arms to her sides, then steps around the couch and takes a seat
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS821 	01:49:04,00 --> 01:49:10,50 	beside her father, forcing him more into the middle as she takes a corner of the blanket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS56 	00:04:05,00 --> 00:04:09,50 	he takes a seat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS61 	00:04:56,00 --> 00:05:00,50 	someone lights the cigarette, then takes a deep satisfied drag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS77 	00:07:11,00 --> 00:07:21,50 	dressed in black with a matching leather jacket she enters avoiding their gaze and takes a seat at the far end of the conference table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS86 	00:09:07,00 --> 00:09:12,50 	then takes a can of coke from her fridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS98 	00:10:23,00 --> 00:10:29,50 	someone takes an uneasy breath and sips red wine.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS113 	00:11:12,00 --> 00:11:17,50 	she takes a photo of an ethernet hub.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS118 	00:11:23,00 --> 00:11:30,50 	as he takes out a cellphone, someone continues down the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS152 	00:15:04,00 --> 00:15:11,50 	someone takes them into a cozy study and gestures someone to a leather armchair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS157 	00:16:38,00 --> 00:16:47,50 	she holds out her hand to take it back but he instead gives her an electronic device with a screen, antenna, and attached wire.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS188 	00:23:48,00 --> 00:23:55,50 	she takes the flashlight out of her mouth and flips a switch.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS254 	00:29:54,00 --> 00:29:58,50 	someone takes notes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS297 	00:34:10,00 --> 00:34:16,50 	he takes out of the datebook and slides it toward the older man.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS360 	00:44:22,00 --> 00:44:26,50 	she takes the computer back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS402 	00:47:35,00 --> 00:47:40,50 	she slings it over her shoulder then takes the check.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS427 	00:51:23,00 --> 00:51:31,50 	at dusk someone takes a drag off a cigarette as she arrives outside an apartment building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS444 	00:52:35,00 --> 00:52:39,50 	someone starts to take it from her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS448 	00:52:54,00 --> 00:52:59,50 	someone takes her hand.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS470 	00:54:20,00 --> 00:54:27,50 	someone takes hold of her hips and buries his face between her butt cheeks.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS471 	00:54:25,00 --> 00:54:33,50 	he positions himself directly over her, sweeps his bathrobe back like a cape and takes out a condom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS517 	00:57:19,00 --> 00:57:25,50 	later, she takes off her shirt.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS567 	01:02:58,00 --> 01:03:04,50 	the archivist takes two large binders from a shelf.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS593 	01:05:29,00 --> 01:05:36,50 	her gaze cold and business like, someone takes it to someone
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS641 	01:09:49,00 --> 01:09:55,50 	someone sets two plates on the table and they each take a seat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS646 	01:10:14,00 --> 01:10:21,50 	she takes a bite of her sandwich and he pours them each some coffee.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS702 	01:17:33,00 --> 01:17:40,50 	in the kitchen, someone takes off his scarf then sets two plates on the table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS703 	01:17:37,00 --> 01:17:47,50 	meanwhile, someone opens a dresser drawer, takes out her taser and stuffs it in her back pocket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS710 	01:18:33,00 --> 01:18:40,50 	someone takes a seat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS714 	01:19:57,00 --> 01:20:08,50 	taking them, she curtly drops them on the table as she heads out of the room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS748 	01:24:29,00 --> 01:24:34,50 	someone takes a drag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS750 	01:24:46,00 --> 01:24:54,50 	someone takes another drag from his cigarette.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS751 	01:24:51,00 --> 01:24:58,50 	as his research assistant parks, he takes a couple of steps forward.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS756 	01:25:29,00 --> 01:25:34,50 	she takes off two layers of leather jackets.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS760 	01:27:44,00 --> 01:27:49,50 	he takes a drag and points out harold's house.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS878 	01:37:48,00 --> 01:37:52,50 	she takes the bottle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS883 	01:38:20,00 --> 01:38:27,50 	in the living room someone takes off her pants.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS896 	01:39:35,00 --> 01:39:42,50 	later someone lies on her back still naked, and takes a drag off a cigarette.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS929 	01:43:24,00 --> 01:43:31,50 	now on a ladder she takes two heavy volumes from a high shelf.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS950 	01:45:09,00 --> 01:45:14,50 	someone lights it and takes a drag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS995 	01:48:31,00 --> 01:48:39,50 	in the cottage someone takes the photo of someone with the search party to a table bearing stacks of case files.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1009 	01:49:24,00 --> 01:49:29,50 	at the archives someone takes gottfried's obituary to her laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1033 	01:51:00,00 --> 01:51:07,50 	he takes one from the knife block revealing its long smooth edged blade.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1048 	01:51:48,00 --> 01:51:55,50 	someone takes a sandwich from a compartment and collects a paper cup of coffee.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1106 	01:55:28,00 --> 01:55:36,50 	someone takes off his jacket and drapes it over a low cabinet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1107 	01:55:45,00 --> 01:55:53,50 	he takes a small flashlight from a drawer and tosses it to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1115 	01:57:08,00 --> 01:57:13,50 	he takes a gun from a drawer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1119 	01:57:25,00 --> 01:57:32,50 	under someone's cold stare he takes the knife from his coat and drops it on the counter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1130 	01:58:17,00 --> 01:58:23,50 	the journalist takes in his surroundings as they pass through an electrical room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1152 	02:01:26,00 --> 02:01:32,50 	picks up a duffle bag and takes out the portable monitor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1271 	02:13:43,00 --> 02:13:47,50 	the techie takes a drag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1287 	02:15:46,00 --> 02:15:51,50 	he takes out one of the photos of the nude teenage girl.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1364 	02:26:39,00 --> 02:26:45,50 	he takes her list of codes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1380 	02:27:59,00 --> 02:28:05,50 	she takes off her necklace, wraps it in a paper towel and shoves it in the trash.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1416 	02:31:58,00 --> 02:32:05,50 	then takes the garment bag with her gift off the bike's rear cargo rack.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS47 	00:10:35,00 --> 00:10:39,50 	someone's mom takes her name tag.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS74 	00:26:28,00 --> 00:26:34,50 	she takes a small hook out of her purse and hangs the bag on the table.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS77 	00:27:18,00 --> 00:27:23,50 	someone takes out her phone and puts on her glasses.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS122 	00:43:14,00 --> 00:43:21,50 	he sees his mother taking a look around as she approaches his table.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS136 	00:47:57,00 --> 00:48:01,50 	he takes another sip.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS167 	00:55:37,00 --> 00:55:43,50 	someone takes a deep breath and lays her menu down on the table.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS210 	01:08:30,00 --> 01:08:37,50 	they take in the bright lights and glittering signs of the las vegas strip.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS232 	01:16:13,00 --> 01:16:21,50 	she takes off her glasses and pinches the bridge of her nose before smiling to herself.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS235 	01:16:51,00 --> 01:16:59,50 	someone sees one executive texting on her cell phone and another absently taking a drink of water.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS275 	01:31:03,00 --> 01:31:11,50 	as he watches her walk away, she takes out her cell phone from her purse and dials a number.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS276 	01:31:17,00 --> 01:31:23,50 	someone takes out his cell phone and stares at it, waiting.
THE_SITTER.srt 	THE_SITTER_DVS49 	00:27:12,00 --> 00:27:23,50 	as the kids gawk at him, someone reaches into his pocket and takes out his cell.
THE_SITTER.srt 	THE_SITTER_DVS86 	00:46:45,00 --> 00:46:50,50 	someone takes a seat beside the boy.
THE_SITTER.srt 	THE_SITTER_DVS89 	00:48:33,00 --> 00:48:37,50 	someone takes out the gps.
THE_SITTER.srt 	THE_SITTER_DVS107 	00:57:35,00 --> 00:57:45,50 	he takes out a scrap of paper and reads an address.
THE_SITTER.srt 	THE_SITTER_DVS137 	01:11:04,00 --> 01:11:10,50 	with a sheepish grin she takes the tissues and wipes her cheeks.
THE_SITTER.srt 	THE_SITTER_DVS152 	01:15:28,00 --> 01:15:32,50 	he takes out his cell.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	spinning around, he takes a seat and opens it.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS100 	00:32:07,00 --> 00:32:15,50 	someone takes a seat at his desk and focuses on his work.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS104 	00:33:48,00 --> 00:33:55,50 	someone takes notes on a page covered in doodles.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS117 	00:37:27,00 --> 00:37:32,50 	someone takes out his cell.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS308 	01:50:58,00 --> 01:51:08,50 	then takes a freshly printed business card from one of the oblong boxes.
THE_VOW.srt 	THE_VOW_DVS66 	00:06:02,00 --> 00:06:06,50 	they each take a bite from a chocolate.
THE_VOW.srt 	THE_VOW_DVS68 	00:06:07,00 --> 00:06:15,50 	as he takes a sip, she plucks the straw fedora off his head and tries it on herself.
THE_VOW.srt 	THE_VOW_DVS78 	00:06:48,00 --> 00:06:54,50 	she takes out a photo of someone holding a guitar.
THE_VOW.srt 	THE_VOW_DVS106 	00:10:35,00 --> 00:10:48,50 	he takes out his vows.
THE_VOW.srt 	THE_VOW_DVS153 	00:16:06,00 --> 00:16:14,50 	the physician watches as someones distressed husband takes a seat at his wifes bedside.
THE_VOW.srt 	THE_VOW_DVS173 	00:18:07,00 --> 00:18:11,50 	he takes her to the cafeteria.
THE_VOW.srt 	THE_VOW_DVS198 	00:23:56,00 --> 00:24:02,50 	someone briefly hangs his head then takes a deep breath.
THE_VOW.srt 	THE_VOW_DVS287 	00:37:45,00 --> 00:37:51,50 	someone takes his bouquet of flowers and hurries in another direction.
THE_VOW.srt 	THE_VOW_DVS347 	00:47:08,00 --> 00:47:14,50 	he gestures cordially, and someone takes a seat in front of his desk.
THE_VOW.srt 	THE_VOW_DVS425 	00:59:19,00 --> 00:59:23,50 	someone takes a deep breath.
THE_VOW.srt 	THE_VOW_DVS460 	01:06:22,00 --> 01:06:27,50 	someone takes a deep breath, then tries another.
THE_VOW.srt 	THE_VOW_DVS473 	01:07:56,00 --> 01:08:00,50 	someone takes a peek.
THE_VOW.srt 	THE_VOW_DVS511 	01:11:05,00 --> 01:11:12,50 	inside the house, someone sets down her keys and takes off her shoes.
THE_VOW.srt 	THE_VOW_DVS537 	01:14:17,00 --> 01:14:24,50 	the photographer takes a picture of the sisters, their parents, and someone.
THE_VOW.srt 	THE_VOW_DVS555 	01:15:59,00 --> 01:16:03,50 	someone takes another sip.
