21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1218 	01:48:52,00 --> 01:49:00,50 	someone touches a girder someone holds between them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1222 	01:49:14,00 --> 01:49:27,50 	someone holds his gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1234 	01:51:09,00 --> 01:51:21,50 	across the room from someone, someone holds up the nazi coin, aligning it to the someone's frozen gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1263 	01:54:15,00 --> 01:54:21,50 	the russian captain holds.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1273 	01:54:43,00 --> 01:54:52,50 	the mutants hold their positions.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1285 	01:55:52,00 --> 01:56:00,50 	someone holds his merciless gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1289 	01:56:13,00 --> 01:56:23,50 	as he holds someone down, he regains control of the missiles.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1291 	01:56:27,00 --> 01:56:35,50 	someone holds out his hand again, cuing the rockets back on course toward the ships.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1298 	01:57:05,00 --> 01:57:11,50 	someone hurries to someone and holds a hand over the wound.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1307 	01:58:21,00 --> 01:58:27,50 	as they hold eye contact, someone mournfully tightens his jaw.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1308 	01:58:28,00 --> 01:58:33,50 	someone holds his tender gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1325 	02:00:12,00 --> 02:00:17,50 	they stand in a line, all holding hand
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS39 	00:04:08,00 --> 00:04:15,50 	she picks up a nearby cellphone displaying a new message alert and holds it to her ear.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS40 	00:04:29,00 --> 00:04:35,50 	holding the notice, someone lunches with a black haired woman.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS96 	00:13:44,00 --> 00:13:49,50 	later, she sits on a sink and holds her cellphone to her ear.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS228 	00:42:55,00 --> 00:43:00,50 	holding a signed book, someone trots across the lawn.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS230 	00:43:25,00 --> 00:43:30,50 	holding a baby, dark-haired someone steps outside.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS368 	01:10:22,00 --> 01:10:27,50 	someone holds her hand to her face and stares at someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS385 	01:14:17,00 --> 01:14:22,50 	someone holds up the drumsticks and faces the crowd.
ZOMBIELAND.srt 	ZOMBIELAND_DVS181 	00:17:51,00 --> 00:17:55,50 	he holds the tank lid ready.
ZOMBIELAND.srt 	ZOMBIELAND_DVS250 	00:26:28,00 --> 00:26:35,50 	holding the men at gunpoint, the sisters leave.
ZOMBIELAND.srt 	ZOMBIELAND_DVS520 	01:01:22,00 --> 01:01:27,50 	he copies, holding her shoulders,
ZOMBIELAND.srt 	ZOMBIELAND_DVS550 	01:04:32,00 --> 01:04:37,50 	someone holds a surfboard.
ZOOKEEPER.srt 	ZOOKEEPER_DVS63 	00:12:39,00 --> 00:12:45,50 	holding the porcupine, someone turns away.
ZOOKEEPER.srt 	ZOOKEEPER_DVS203 	00:45:32,00 --> 00:45:38,50 	he enters holding a two-tiered orange cake with lit candles.
ZOOKEEPER.srt 	ZOOKEEPER_DVS213 	00:47:44,00 --> 00:47:50,50 	someone bobs his head while someone holds his hand out.
ZOOKEEPER.srt 	ZOOKEEPER_DVS256 	00:56:24,00 --> 00:56:29,50 	someone holds out her open palm.
ZOOKEEPER.srt 	ZOOKEEPER_DVS261 	00:57:16,00 --> 00:57:20,50 	someone holds a microphone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS310 	01:08:58,00 --> 01:09:04,50 	she holds the door for griffins ex who climbs in with him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS315 	01:10:51,00 --> 01:10:56,50 	hair, who holds a chinese crested.
ZOOKEEPER.srt 	ZOOKEEPER_DVS357 	01:20:05,00 --> 01:20:12,50 	now, venom holds two lizards as he approaches someone who stares into someone's pit.
ZOOKEEPER.srt 	ZOOKEEPER_DVS410 	01:30:00,00 --> 01:30:06,50 	someone holds a kayak over his head.
