21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1258 	01:53:41,00 --> 01:53:47,50 	crossing the beach, someone, someone, and someone all face the distant fleet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1281 	01:55:15,00 --> 01:55:21,50 	the rockets rotate to face their points of origin.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1335 	02:01:38,00 --> 02:01:44,50 	someone pushes his wheelchair, then stops and faces him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1342 	02:03:29,00 --> 02:03:36,50 	clad in white, the blonde mutant rises from her bed and faces a metal door.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS123 	00:22:23,00 --> 00:22:30,50 	the next morning, someone lies face down on her hotel bed still wearing the clothes from the previous night.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS274 	00:52:58,00 --> 00:53:03,50 	without facing her, someone waves and disappears inside.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS385 	01:14:17,00 --> 01:14:22,50 	someone holds up the drumsticks and faces the crowd.
ZOMBIELAND.srt 	ZOMBIELAND_DVS127 	00:11:05,00 --> 00:11:14,50 	he pauses, facing someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS203 	00:22:01,00 --> 00:22:05,50 	now they face the entrance.
ZOMBIELAND.srt 	ZOMBIELAND_DVS267 	00:29:34,00 --> 00:29:41,50 	facing someone, he extends the middle finger.
ZOMBIELAND.srt 	ZOMBIELAND_DVS324 	00:36:36,00 --> 00:36:41,50 	back the present, someone faces someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS346 	00:39:45,00 --> 00:39:51,50 	someone eyes someone then looks away just as she turns to face him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS487 	00:57:26,00 --> 00:57:33,50 	the open wallet contains two cherished snapshots of the bright faced boy.
ZOMBIELAND.srt 	ZOMBIELAND_DVS589 	01:08:06,00 --> 01:08:14,50 	back at someone murray's, someone faces someone who sits astride a customized motorcycle.
ZOMBIELAND.srt 	ZOMBIELAND_DVS611 	01:10:14,00 --> 01:10:19,50 	little someone faces her sister.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	the zookeeper awkwardly steps out and faces the indifferent lion.
ZOOKEEPER.srt 	ZOOKEEPER_DVS154 	00:35:11,00 --> 00:35:16,50 	he faces the pole.
ZOOKEEPER.srt 	ZOOKEEPER_DVS331 	01:14:04,00 --> 01:14:09,50 	someone faces the customer.
ZOOKEEPER.srt 	ZOOKEEPER_DVS345 	01:17:07,00 --> 01:17:15,50 	with his back to the former zookeeper, someone sits facing the enclosure's far wall.
ZOOKEEPER.srt 	ZOOKEEPER_DVS367 	01:22:31,00 --> 01:22:42,50 	someone faces a floor-to-ceiling window and gazes out at the city.
